Cm = 1.87e-11, Cn = 3.14e-09, Rf = 1.26e+08, Cm * Rf = 0.39564
v_InitObject: Node = 37200, Myelin = 2560, extracell = 0
Max Anistrength_1  = 12.9582, Anistrength_2 = 12.9582, Min Anistrength 1 = 1, Anistrength 2 = 1
*** 1st Moving frames are NOT in unit length, Avg mag. = 12.5366 *** 
*** 2nd Moving frames are NOT in unit length, Avg mag. = 12.5366 *** 
*** Moving frames are Orthogonal
*** MF 0 = ( 0 , 12.5366 , 0 ) 
*** MF 1 = ( 12.5366 , 0 , 0 ) 
*** MF 2 = ( 0 , 0 , 1 ) 
============ End of MMFInitObect ============

Constructing phieunitMF ================================================
SetUp 2D MF: ***********************************************************
LOCAL construction for 1988 elements, adapated from MF1 = 1153, MF2 = 807, MF3 = 28
*** 1st Moving frames are in unit length ***
*** 2nd Moving frames are in unit length ***
*** Moving frames are Orthogonal
*** MF 0 = ( 0.585504 , 0.810669 , 0 ) 
*** MF 1 = ( 0.810669 , 0.585504 , 0 ) 
*** MF 2 = ( 0 , 0 , 1 ) 
*** 1st Moving frames are in unit length ***
*** 2nd Moving frames are in unit length ***
*** Moving frames are Orthogonal
*** MF 0 = ( 0.585504 , 0.810669 , 0 ) 
*** MF 1 = ( 0.810669 , 0.585504 , 0 ) 
*** MF 2 = ( 0 , 0 , 1 ) 

Constructing phieMF ================================================
SetUp 2D MF: ***********************************************************
LOCAL construction for 1988 elements, adapated from MF1 = 1153, MF2 = 807, MF3 = 28
*** 1st Moving frames are NOT in unit length, Avg mag. = 1.41421 *** 
*** 2nd Moving frames are NOT in unit length, Avg mag. = 1.41421 *** 
*** Moving frames are Orthogonal
*** MF 0 = ( 0.828028 , 1.14646 , 0 ) 
*** MF 1 = ( 1.14646 , 0.828028 , 0 ) 
*** MF 2 = ( 0 , 0 , 1 ) 
*** 1st Moving frames are NOT in unit length, Avg mag. = 1.41421 *** 
*** 2nd Moving frames are NOT in unit length, Avg mag. = 1.41421 *** 
*** Moving frames are Orthogonal
*** MF 0 = ( 0.828028 , 1.14646 , 0 ) 
*** MF 1 = ( 1.14646 , 0.828028 , 0 ) 
*** MF 2 = ( 0 , 0 , 1 ) 
Compute Varcoeff for phim ====================== 
k = 0, m_varcoeff = ( 0 , 12.5366 , 0 , 7.60652e-12 , 162.419 ) 
k = 1, m_varcoeff = ( 12.5366 , 0 , 0 , 1.5185e-11 , 162.419 ) 
k = 2, m_varcoeff = ( 0 , 0 , 1 , 0 , 1 ) 
 ::::: 2D Varcoeff is Successfully Created ::::: 

Compute Varcoeff for phie ====================== 
k = 0, m_varcoeff = ( 0.828028 , 1.14646 , 0 , 1.05297e-08 , 2 ) 
k = 1, m_varcoeff = ( 1.14646 , 0.828028 , 0 , 2.41867e-08 , 2 ) 
k = 2, m_varcoeff = ( 0 , 0 , 1 , 0 , 1 ) 
 ::::: 2D Varcoeff is Successfully Created ::::: 

=======================================================================
	        EquationType: MMFNeuralEP
	        Session Name: NeuralEP2DL6bi_reri1
	        Spatial Dim.: 3
	  Max SEM Exp. Order: 4
	      Expansion Dim.: 2
	     Projection Type: Continuous Galerkin
	 Advect. advancement: explicit
	Diffuse. advancement: implicit
	           Time Step: 1e-07
	        No. of Steps: 30000000
	 Checkpoints (steps): 300000
	    Integration Type: IMEX
	             Surface: Plane
	           DerivType: Euclidean
	          MediumType: Anisotropy
	              MMFdir: TangentY
	        NeuralEPType: NeuralEP2D
	    SolverSchemeType: Default
	             TimeMap: DeActivated
	        TimeMapStart: 0
	          TimeMapEnd: 10000
	         ElemNodeEnd: 127
	       ElemMyelenEnd: 1987
	         Temperature: 24
	            diameter: 0.025
	             Helmtau: 1
=======================================================================
Initial Conditions:
  - Field um: 0
  - Field ue: 0
Elemid = 0, Nodeid = 0, x = 0.00125, y = 0.00046875, dist = 0.00179393, e1mag = 1, e2mag = 1, inarray = 0
Elemid = 1, Nodeid = 0, x = 0.00046875, y = 0.00125, dist = 0.00179393, e1mag = 1, e2mag = 1, inarray = 0
Elemid = 2, Nodeid = 0, x = 0.00203125, y = 0.00125, dist = 0.00179393, e1mag = 1, e2mag = 1, inarray = 0
Elemid = 3, Nodeid = 0, x = 0.00125, y = 0.00203125, dist = 0.00179393, e1mag = 1, e2mag = 1, inarray = 0
Elemid = 4, Nodeid = 1, x = 0.00046875, y = 0.00375, dist = 0.00179393, e1mag = 1, e2mag = 1, inarray = 0
Elemid = 5, Nodeid = 1, x = 0.00125, y = 0.00296875, dist = 0.00179393, e1mag = 1, e2mag = 1, inarray = 0
Elemid = 6, Nodeid = 1, x = 0.00125, y = 0.00453125, dist = 0.00179393, e1mag = 1, e2mag = 1, inarray = 0
Elemid = 7, Nodeid = 1, x = 0.00203125, y = 0.00375, dist = 0.00179393, e1mag = 1, e2mag = 1, inarray = 0
Elemid = 8, Nodeid = 2, x = 0.00046875, y = 0.20625, dist = 0.00179393, e1mag = 1, e2mag = 1, inarray = 0
Elemid = 9, Nodeid = 2, x = 0.00203125, y = 0.20625, dist = 0.00179393, e1mag = 1, e2mag = 1, inarray = 0
Elemid = 10, Nodeid = 2, x = 0.00125, y = 0.207031, dist = 0.00179393, e1mag = 1, e2mag = 1, inarray = 0
Elemid = 11, Nodeid = 2, x = 0.00125, y = 0.205469, dist = 0.00179393, e1mag = 1, e2mag = 1, inarray = 0
Elemid = 12, Nodeid = 3, x = 0.00203125, y = 0.40875, dist = 0.00179393, e1mag = 1, e2mag = 1, inarray = 0
Elemid = 13, Nodeid = 3, x = 0.00125, y = 0.407969, dist = 0.00179393, e1mag = 1, e2mag = 1, inarray = 0
Elemid = 14, Nodeid = 3, x = 0.00125, y = 0.409531, dist = 0.00179393, e1mag = 1, e2mag = 1, inarray = 0
Elemid = 15, Nodeid = 3, x = 0.00046875, y = 0.40875, dist = 0.00179393, e1mag = 1, e2mag = 1, inarray = 0
Elemid = 16, Nodeid = 4, x = 0.00125, y = 0.612031, dist = 0.00179393, e1mag = 1, e2mag = 1, inarray = 0
Elemid = 17, Nodeid = 4, x = 0.00125, y = 0.610469, dist = 0.00179393, e1mag = 1, e2mag = 1, inarray = 0
Elemid = 18, Nodeid = 4, x = 0.00046875, y = 0.61125, dist = 0.00179393, e1mag = 1, e2mag = 1, inarray = 0
Elemid = 19, Nodeid = 4, x = 0.00203125, y = 0.61125, dist = 0.00179393, e1mag = 1, e2mag = 1, inarray = 0
Elemid = 20, Nodeid = 5, x = 0.00125, y = 0.812969, dist = 0.00179393, e1mag = 1, e2mag = 1, inarray = 0
Elemid = 21, Nodeid = 5, x = 0.00125, y = 0.814531, dist = 0.00179393, e1mag = 1, e2mag = 1, inarray = 0
Elemid = 22, Nodeid = 5, x = 0.00046875, y = 0.81375, dist = 0.00179393, e1mag = 1, e2mag = 1, inarray = 0
Elemid = 23, Nodeid = 5, x = 0.00203125, y = 0.81375, dist = 0.00179393, e1mag = 1, e2mag = 1, inarray = 0
Elemid = 24, Nodeid = 6, x = 0.00125, y = 1.01703, dist = 0.00179393, e1mag = 1, e2mag = 1, inarray = 0
Elemid = 25, Nodeid = 6, x = 0.00125, y = 1.01547, dist = 0.00179393, e1mag = 1, e2mag = 1, inarray = 0
Elemid = 26, Nodeid = 6, x = 0.00046875, y = 1.01625, dist = 0.00179393, e1mag = 1, e2mag = 1, inarray = 0
Elemid = 27, Nodeid = 6, x = 0.00203125, y = 1.01625, dist = 0.00179393, e1mag = 1, e2mag = 1, inarray = 0
Elemid = 28, Nodeid = 7, x = 0.00125, y = 1.21797, dist = 0.00179393, e1mag = 1, e2mag = 1, inarray = 0
Elemid = 29, Nodeid = 7, x = 0.00125, y = 1.21953, dist = 0.00179393, e1mag = 1, e2mag = 1, inarray = 0
